From Node,To Node,Road Name,Baseline Flow,Capacity,V/C Ratio
Proper - 1,Molo - 7,Gen Luna - Molo Connect,0.0,5600,0.0
Proper - 1,Proper - 2,Infante St 1,728.2,2800,0.26
Proper - 1,Proper - 7,Gen Luna St 1,1132.21,2800,0.404
Proper - 1,mandurriao - 1,Old Iloilo - Capiz Rd (Rev),2395.42,2800,0.856
Proper - 2,Molo - 5,Timawa St (Rev),0.0,2800,0.0
Proper - 2,Proper - 1,Infante St 1 (Rev),1082.02,2800,0.386
Proper - 2,Proper - 3,Infante St 2,594.97,2800,0.212
Proper - 2,Proper - 10,Delgado St,133.23,2800,0.048
Proper - 3,Proper - 2,Infante St 2 (Rev),1082.02,2800,0.386
Proper - 3,Proper - 4,Infante St 3,2468.17,2800,0.881
Proper - 4,Molo - 6,Molo Blvd 2 (Rev),0.0,2800,0.0
Proper - 4,Proper - 5,Baluarte - Oton Blvd,2468.17,2800,0.881
Proper - 5,Proper - 3,Rizal St 1,2955.22,2800,1.055
Proper - 5,Proper - 6,Rizal St 2,2468.17,2800,0.881
Proper - 6,Proper - 5,Rizal St 2 (Rev),2955.22,2800,1.055
Proper - 6,Proper - 14,Rizal St 3,0.0,2800,0.0
Proper - 6,Proper - 11,Ledesma St,0.0,2800,0.0
Proper - 7,Proper - 1,Gen Luna St 1 (Rev),718.86,2800,0.257
Proper - 7,Proper - 8,Gen Luna St 2,1252.21,2800,0.447
Proper - 7,lapaz - 10,Bonifacio Drive,179.52,2800,0.064
Proper - 8,Proper - 7,Gen Luna St 2 (Rev),898.38,2800,0.321
Proper - 8,Proper - 9,Gen Luna St 3,1314.44,16800,0.078
Proper - 8,Proper - 10,Ruperto Montinola St 1,76.45,2800,0.027
Proper - 9,Proper - 8,Gen Luna St 3 (Rev),962.26,16800,0.057
Proper - 9,Proper - 12,Muelle Loney St 1,1923.35,2800,0.687
Proper - 9,lapuz - 2,Quirino - Lopez Bridge,3625.2,2800,1.295
Proper - 10,Proper - 8,Ruperto Montinola St 1 (Rev),74.8,2800,0.027
Proper - 10,Proper - 11,Ruperto Montinola St 2,209.68,2800,0.075
Proper - 10,Proper - 2,Delgado St (Rev),0.0,2800,0.0
Proper - 11,Proper - 6,Ledesma St (Rev),0.0,2800,0.0
Proper - 11,Proper - 10,Ruperto Montinola St 2 (Rev),74.8,2800,0.027
Proper - 11,Proper - 12,Arroyo St (Rev),1783.15,1400,1.274
Proper - 11,Proper - 13,JM Basa St 1,1588.7,2800,0.567
Proper - 12,Proper - 11,Arroyo St,2152.5,1400,1.538
Proper - 12,Proper - 9,Muelle Loney St 1 (Rev),1506.7,2800,0.538
Proper - 12,Proper - 18,Muelle Loney St 2,3706.5,2800,1.324
Proper - 13,Proper - 11,JM Basa St 1 (Rev),1636.0,2800,0.584
Proper - 13,Proper - 14,JM Basa St 2,0.0,2800,0.0
Proper - 13,Proper - 17,Dela Rama St 1,1588.7,1400,1.135
Proper - 14,Proper - 6,Rizal St 3 (Rev),0.0,2800,0.0
Proper - 14,Proper - 13,JM Basa St 2 (Rev),0.0,2800,0.0
Proper - 14,Proper - 15,General Hughes St 1,0.0,2800,0.0
Proper - 15,Proper - 14,General Hughes St 1 (Rev),0.0,2800,0.0
Proper - 15,Proper - 16,Duran St,0.0,1400,0.0
Proper - 15,Proper - 22,General Hughes St 2,0.0,2800,0.0
Proper - 16,Proper - 15,Duran St (Rev),0.0,1400,0.0
Proper - 17,Proper - 13,Dela Rama St 1 (Rev),1636.0,1400,1.169
Proper - 17,Proper - 20,Dela Rama St 2,0.0,1400,0.0
Proper - 17,Proper - 18,Blumentritt 1,1588.7,1400,1.135
Proper - 17,Proper - 19,Blumentritt 2,0.0,1400,0.0
Proper - 18,Proper - 17,Blumentritt 1 (Rev),1636.0,1400,1.169
Proper - 18,Proper - 12,Muelle Loney St 2 (Rev),3659.2,2800,1.307
Proper - 18,Proper - 19,Muelle Loney St 3,0.0,2800,0.0
Proper - 19,Proper - 17,Blumentritt 2 (Rev),0.0,1400,0.0
